t_us,raw
2431800,6650
2436800,6650
2441800,6649
2446800,6649
2451800,6650
2456800,6651
2461804,6649
2466804,6649
2471804,6649
2476804,6649
2481804,6650
2486808,6649
2491812,6650
2496812,6649
2501812,6650
2506812,6649
2511812,6650
2516816,6650
2521816,6649
2526816,6649
2531816,6649
2536816,6651
2541816,6650
2546816,6649
2551816,6650
2556816,6650
2561816,6650
2566816,6650
2571816,6650
2576820,6649
2581824,6649
2586824,6649
2591824,6649
2596824,6649
2601824,6649
2606824,6649
2611828,6649
2616832,6650
2621832,6648
2626832,6649
2631832,6650
2636836,6650
2641836,6649
2646836,6649
2651836,6650
2656836,6650
2661836,6649
2666836,6650
2671836,6650
2676836,6650
2681836,6649
2686836,6649
2691836,6649
2696836,6649
2701836,6649
2706836,6649
2711836,6650
2716836,6650
2721840,6649
2726840,6650
2731840,6649
2736840,6650
2741844,6649
2746844,6649
2751844,6650
2756844,6650
2761844,6649
2766844,6649
2771844,6650
2776844,6650
2781844,6650
2786848,6649
2791852,6649
2796852,6649
2801856,6650
2806856,6650
2811856,6650
2816856,6651
2821856,6649
2826856,6649
2831856,6650
2836856,6650
2841856,6649
2846860,6649
2851860,6650
2856860,6650
2861860,6649
2866860,6649
2871860,6649
2876860,6649
2881860,6650
2886864,6649
2891864,6649
2896868,6649
2901868,6648
2906868,6649
2911868,6649
2916868,6649
2921868,6650
2926868,6649
2931868,6650
2936868,6649
2941868,6649
2946868,6649
2951868,6649
2956868,6650
2961868,6650
2966868,6649
2971868,6649
2976868,6649
2981868,6649
2986868,6649
2991868,6649
2996868,6649
3001868,6649
3006868,6649
3011868,6649
3016868,6649
3021868,6650
3026868,6649
3031868,6648
3036868,6649
3041868,6649
3046868,6649
3051868,6650
3056868,6649
3061868,6649
3066868,6649
3071868,6650
3076868,6648
3081868,6648
3086868,6649
3091868,6649
3096872,6649
3101872,6649
3106872,6650
3111872,6649
3116876,6648
3121876,6650
3126876,6649
3131876,6649
3136876,6650
3141876,6649
3146876,6649
3151876,6649
3156876,6650
3161876,6649
3166876,6649
3171876,6649
3176876,6649
3181880,6648
3186884,6649
3191888,6650
3196888,6649
3201888,6649
3206888,6649
3211888,6649
3216892,6649
3221892,6648
3226892,6649
3231892,6649
3236892,6649
3241892,6649
3246892,6649
3251892,6649
3256892,6650
3261892,6650
3266892,6649
3271892,6649
3276892,6649
3281896,6650
3286896,6650
3291896,6649
3296896,6649
3301900,6649
3306900,6649
3311900,6648
3316900,6650
3321904,6649
3326904,6648
3331904,6651
3336904,6649
3341904,6649
3346904,6648
3351904,6650
3356904,6649
3361904,6649
3366904,6649
3371904,6649
3376904,6650
3381904,6649
3386908,6648
3391912,6649
3396912,6649
3401912,6649
3406912,6649
3411912,6649
3416912,6650
3421912,6649
3426912,6648
3431912,6649
